Tablet,AM,BA,DI2,DU,IM,IR,KA3,KI,KU3,LI,MA,NA,ŠA,ŠUR,TIM,U3,ZI
SL151,4a,1,1d,2a,12a,2,1a,1,5,4a,1,2,1a,,1a,3,4a
SL133,1c,1,1d,2a,12a,2,1a,2,2,2c,1,2,1a,,,2,4a
SL142,1c,1,1c,2a,12a,2,1a,2,2,2c,1,2,2a,,1a,2,
SL144,1c,1,1c,2a,12a,2,1a,2,2,,1,2,1a,,1a,2,2b
SL150,1c,1,1a,2a,12a,2,1a,1,2,4a,1,2,2a,,1a,3,
SL143,,1,1c,2a,12a,2,1a,2,2,2c,1,1,1a,,1a,,4a
SL146,4a,1,1d,2a,12a,2,1a,2,2,,1,2,1a,,1a,,4a
SL139,2c,1,1c,2a,12a,2,1a,1,2,3b,1,2,1a,,1a,,
SL168,1c,1,1d,2a,,,1a,1,5,2b,1,2,1a,,1a,,6a
SL169,,1,1d,,12a,2,1a,2,2,,1,2,1a,,,2,4a
